timestamp,log_id,confidence,model_name,cpu,detection_boxes,model_processing_time,image_processing_time,absolute_time_from_start,utility
2023-12-14T13:23:14.548,1448,0.589027432724834,yolov5m,24.7,16,0.0246543884277344,0.302146196365356,470.649447917938,0.445586814545095
2023-12-14T13:23:14.579,1449,0.636436170339584,yolov5m,23.5,10,0.0223050117492676,0.193686723709106,470.680619716644,0.415061447024345
2023-12-14T13:23:14.616,1450,0.412630240122477,yolov5m,26.3,3,0.0210435390472412,0.0853009223937988,470.716778278351,-0.051034418741862
2023-12-14T13:23:15.215,1451,0.584122886260351,yolov5m,19.2,15,0.0225362777709961,0.538956880569458,471.315693616867,0.561539883414904
2023-12-14T13:23:15.287,1452,0.753610754013062,yolov5m,22.3,15,0.0311963558197021,0.472533702850342,471.38800239563,0.613072228431702
2023-12-14T13:23:16.812,1453,0.689239659479686,yolov5m,17.6,14,0.246752023696899,1.81361055374146,472.912941217423,-0.0621854471308844
2023-12-14T13:23:17.039,1454,0.817614641040564,yolov5s,15.3,8,0.139301300048828,1.57751965522766,473.140259981155,0.120047492906451
2023-12-14T13:23:17.094,1455,0.667871600815228,yolov5s,15.1,14,0.0382435321807861,1.62235856056213,473.19468998909,0.0227565201265471
2023-12-14T13:23:17.290,1456,0.55935836984561,yolov5s,16.3,13,0.053884744644165,1.80415439605713,473.390695810318,-0.122398013105759
2023-12-14T13:23:17.328,1457,0.605146087132968,yolov5s,17.7,13,0.012493371963501,1.75986671447754,473.428851366043,-0.0773603136722858
2023-12-14T13:23:17.369,1458,0.638604900666646,yolov5s,21.2,7,0.0187313556671143,1.7036190032959,473.469824314117,-0.0325070513146264
2023-12-14T13:23:17.392,1459,0.634989157319069,yolov5s,13.5,10,0.0120275020599365,1.59021663665771,473.49315738678,0.022386260330677
2023-12-14T13:23:17.477,1460,0.692182475328445,yolov5s,14.6,10,0.0493688583374023,1.54321599006653,473.578482866287,0.0744832426309586
2023-12-14T13:23:17.514,1461,0.701486363013585,yolov5s,21.7,15,0.0163273811340332,1.45389842987061,473.615062952042,0.12379396657149
2023-12-14T13:23:17.574,1462,0.624514981110891,yolov5s,13.5,15,0.0391902923583984,1.38658690452576,473.675542354584,0.118964038292567
2023-12-14T13:23:17.604,1463,0.810647676388423,yolov5s,16.3,6,0.0120203495025635,1.2815797328949,473.705575227737,0.264533971746763
2023-12-14T13:23:17.690,1464,0.589722998440266,yolov5s,15.7,12,0.0474257469177246,1.23516154289246,473.79106926918,0.177280727773905
2023-12-14T13:23:17.732,1465,0.560862615704536,yolov5s,17.9,18,0.0156729221343994,1.14987087249756,473.83288359642,0.205495871603489
2023-12-14T13:23:17.786,1466,0.585522477825483,yolov5s,24.4,18,0.0176637172698975,1.06586503982544,473.887082338333,0.259828719000022
2023-12-14T13:23:17.838,1467,0.662468737363815,yolov5s,14.6,15,0.0164637565612793,0.990078926086426,473.939405679703,0.826273831725121
2023-12-14T13:23:17.890,1468,0.702537280817827,yolov5s,19.3,12,0.0187671184539795,0.918674468994141,473.991396427155,0.810605874905984
2023-12-14T13:23:17.980,1469,0.68323536623608,yolov5s,17.4,11,0.0251448154449463,0.880359172821045,474.081465244293,0.781797269528562
2023-12-14T13:23:18.022,1470,0.68261669440703,yolov5s,20.6,11,0.0160467624664307,0.79800271987915,474.123452663422,0.74030970714309
2023-12-14T13:23:18.046,1471,0.6446434289217,yolov5s,24.3,10,0.0125608444213867,0.692106246948242,474.146948814392,0.668374837934971
2023-12-14T13:23:18.091,1472,0.654112540185452,yolov5s,17.8,16,0.0181293487548828,0.604409217834473,474.192589044571,0.629260879009962
2023-12-14T13:23:18.137,1473,0.805279672145844,yolov5s,18.3,5,0.0172412395477295,0.524967908859253,474.237774133682,0.665123790502548
2023-12-14T13:23:18.230,1474,0.588657470686095,yolov5s,16.7,14,0.024385929107666,0.487523794174194,474.331645965576,0.538090632430145
2023-12-14T13:23:18.292,1475,0.772426552242703,yolov5s,15.3,9,0.0384116172790527,0.418753623962402,474.393270492554,0.595590088102553
2023-12-14T13:23:18.399,1476,0,yolov5s,14.8,0,0.045473575592041,0.39049243927002,474.499948263168,-0.0547537803649902
2023-12-14T13:23:18.448,1477,0.643370077013969,yolov5s,22,6,0.0173065662384033,0.310389041900635,474.549190044403,0.476879559457302
2023-12-14T13:23:18.517,1478,0.651875417966109,yolov5s,15.7,13,0.0425126552581787,0.247150421142578,474.618059873581,0.449512919554344
2023-12-14T13:23:18.555,1479,0.513736578551206,yolov5s,16.1,11,0.0151364803314209,0.148271560668945,474.656528949738,0.331004069610075
2023-12-14T13:23:19.102,1480,0.433584624528885,yolov5s,11.1,5,0.0173854827880859,0.553348779678345,475.202682256699,0.243466702103615
2023-12-14T13:23:19.194,1481,0.623729304263466,yolov5s,51.7,19,0.0615792274475098,0.513110637664795,475.295157670975,0.568419970964131
2023-12-14T13:23:19.231,1482,0.536366855396944,yolov5s,46.4,17,0.0140519142150879,0.421748399734497,475.331797361374,0.479057627565721
2023-12-14T13:23:20.215,1483,0.617805244401097,yolov5s,22.8,16,0.532907485961914,1.26409244537354,476.316306352615,0.176856399513781
2023-12-14T13:23:20.292,1484,0.661251792311668,yolov5s,22,10,0.014998197555542,1.0896487236023,476.393528223038,0.285801534354687
2023-12-14T13:23:20.396,1485,0.599888621105088,yolov5s,22.4,18,0.0273098945617676,1.17696833610535,476.497438430786,0.211460142499871
2023-12-14T13:23:20.424,1486,0.47298223276933,yolov5s,29.5,12,0.0105264186859131,1.09349036216736,476.525622606277,-0.060254064699014
2023-12-14T13:23:20.597,1487,0.622618171301755,yolov5s,22.4,11,0.0364131927490234,1.12478804588318,476.698007106781,0.248915062709288
2023-12-14T13:23:20.673,1488,0.713454178788445,yolov5s,23.5,11,0.0443582534790039,1.07723188400269,476.77388381958,0.31811114739288
2023-12-14T13:23:20.713,1489,0.702847937742869,yolov5s,27,12,0.0138967037200928,0.983834028244019,476.8143491745,0.843340982993444
2023-12-14T13:23:21.149,1490,0.694333768553204,yolov5m,21.8,18,0.136285781860352,1.26537895202637,477.250127077103,0.214477408263418
2023-12-14T13:23:21.239,1491,0.643639445304871,yolov5m,26.6,8,0.0278325080871582,1.18881821632385,477.339753866196,0.227410614490509
2023-12-14T13:23:21.271,1492,0.706253962591291,yolov5m,22,16,0.0164551734924316,1.14823532104492,477.371966362,0.279009320773184
2023-12-14T13:23:21.326,1493,0.617645145881744,yolov5m,25.3,21,0.0261194705963135,1.08163332939148,477.42746090889,0.268005908245132
2023-12-14T13:23:21.400,1494,0.597406190633774,yolov5m,27.6,15,0.0362393856048584,1.02164268493652,477.50128865242,0.287881752848625
2023-12-14T13:23:21.794,1495,0.626512315712477,yolov5m,26.1,19,0.0992684364318848,1.26265645027161,477.895170450211,0.181927932720435
2023-12-14T13:23:22.759,1496,0.622663059017875,yolov5m,21.7,11,0.209375381469727,2.02110242843628,478.859929084778,-0.199219684709202
2023-12-14T13:23:22.888,1497,0.763978321443905,yolov5m,21.8,11,0.0296814441680908,1.73884296417236,478.988936662674,0.0125676786357706
2023-12-14T13:23:22.949,1498,0.659672235900706,yolov5m,8.4,11,0.0308473110198975,1.77431678771973,479.049748420715,-0.0573222759095105
2023-12-14T13:23:23.336,1499,0.626188412308693,yolov5m,14.9,14,0.0911731719970703,2.11989140510559,479.437474727631,-0.246851496398449
2023-12-14T13:23:23.789,1500,0.717345317825675,yolov5m,19.3,16,0.130998373031616,2.37021231651306,479.889949798584,-0.326433499343693
2023-12-14T13:23:24.544,1501,0.65648530815777,yolov5m,29.3,19,0.187383413314819,2.93005132675171,480.645223855972,-0.636783009296969
2023-12-14T13:23:24.624,1502,0.61491610453679,yolov5m,32.3,13,0.0250687599182129,2.68389654159546,480.724973201752,-0.534490218529334
2023-12-14T13:23:24.689,1503,0.615118686358134,yolov5m,37.9,15,0.0222873687744141,2.74085426330566,480.790460586548,-0.562867788473765
2023-12-14T13:23:24.814,1504,0.68916282199678,yolov5m,23.7,21,0.0380563735961914,2.83897137641907,480.915285348892,-0.574904277211144
2023-12-14T13:23:24.852,1505,0.599483507374922,yolov5m,16.9,12,0.0209360122680664,2.83005738258362,480.953031539917,-0.615286937604348
2023-12-14T13:23:24.903,1506,0.687783385024351,yolov5m,17.7,17,0.0276358127593994,2.87539482116699,481.003747224808,-0.593805718071321
2023-12-14T13:23:24.948,1507,0.55795128430639,yolov5m,16.2,14,0.0212531089782715,2.88325524330139,481.048874855042,-0.662651979497501
2023-12-14T13:23:24.993,1508,0.67758301952306,yolov5m,18.6,17,0.023597240447998,2.79507040977478,481.094239234924,-0.55874369512586
2023-12-14T13:23:25.045,1509,0,yolov5m,30.2,0,0.0262527465820312,2.71933317184448,481.146453142166,-1.10966658592224
2023-12-14T13:23:25.115,1510,0,yolov5m,27.7,0,0.0278515815734863,2.65955376625061,481.216533660889,-1.07977688312531
2023-12-14T13:23:25.691,1511,0.706363334105565,yolov5m,22.6,13,0.163996934890747,3.09272503852844,481.79176568985,-0.693180852211439
2023-12-14T13:23:25.803,1512,0.498379558324814,yolov5m,20.4,12,0.0278584957122803,2.96497559547424,481.904579639435,-0.983298018574715
2023-12-14T13:23:25.864,1513,0.534309384723504,yolov5m,30.6,12,0.0263497829437256,2.99211502075195,481.965305805206,-0.728902818014224
2023-12-14T13:23:25.898,1514,0.588373304981934,yolov5m,19.2,19,0.018885612487793,2.92616176605225,481.998913764954,-0.668894230535156
2023-12-14T13:23:25.928,1515,0.706640486206327,yolov5m,31.4,14,0.0207834243774414,2.82715034484863,482.029324531555,-0.560254929321153
2023-12-14T13:23:25.968,1516,0.658163276585666,yolov5m,19,11,0.023331880569458,2.73580956459045,482.069410324097,-0.538823144002394
2023-12-14T13:23:26.206,1517,0.747364445166154,yolov5m,16.7,11,0.0699324607849121,2.83823943138123,482.306902170181,-0.545437493107536
